Collar,latitude,longitude,Altitude,Temp,AnimalTitle,GMT_Stamp,timestamp,pre_lon,pre_lat,pre_time,step,delta,speed_ms,bearing,turn_angle,behavior
151325.0,41.9487056,-88.3496258,206.26,12,Coyote - Thornwood 151325 (M),1680610000000.0,2023-04-04 12:01:00,-88.3581744,41.9551069,2023-04-04 20:01:06,1003.9503796444751,-28806.0,-0.03485212732224103,135.1931712039825,88.85518400985322,Foraging
151324.0,41.9504544,-88.0387294,0.61,9,Coyote - East Branch 151324,1712250000000.0,2024-04-04 16:01:06,-88.3496258,41.9487056,2023-04-04 12:01:00,,31636806.0,0.0008148434726577466,89.46275469898053,45.73041650500197,nan
301434000000000.0,40.196978,-88.070772,203.0,25,Coyote - Champaign MA05 ,1743740000000.0,2025-04-04 04:00:00,-88.0387294,41.9504544,2024-04-04 16:01:06,,31492734.0,0.006184015073752405,180.7998119773301,91.33705727834958,nan
301434000000000.0,40.192131,-88.064581,217.0,26,Coyote - Champaign MA05 ,1743780000000.0,2025-04-04 16:00:00,-88.070772,40.196978,2025-04-04 04:00:00,753.372806671232,43200.0,0.017439185339611852,135.70374393998335,45.096068037346754,Foraging
301434000000000.0,40.527939,-89.448089,206.0,13,Coyote - Morton MA06 ,1743800000000.0,2025-04-04 20:00:00,-88.064581,40.192131,2025-04-04 16:00:00,,14400.0,8.561981360724834,288.1157631135434,152.41201917356003,nan
301434000000000.0,40.534344,-89.448914,201.0,19,Coyote - Morton MA06 ,1743770000000.0,2025-04-04 12:00:00,-89.448089,40.527939,2025-04-04 20:00:00,714.6689974148267,-28800.0,-0.024814895743570372,354.40888153127463,66.29311841773125,Foraging
38058.0,41.8274339,-88.2602436,189.63,24,Coyote - Fermi 38058,1459880000000.0,2016-04-05 17:00:29,-89.448914,40.534344,2025-04-04 12:00:00,,-283892371.0,-0.0006158626331810479,34.28789233748771,39.8790108062131,nan
38056.0,41.8444686,-88.1619078,191.54,5,Coyote - Cantigny 38056 (F),1459840000000.0,2016-04-05 06:02:08,-88.2602436,41.8274339,2016-04-05 17:00:29,8384.359980886473,-39501.0,-0.21225690440460931,76.87818397165115,42.59029163416344,Traveling
38056.0,41.8485064,-88.1640944,195.88,0,Coyote - Cantigny 38056 (F),1459840000000.0,2016-04-05 08:00:30,-88.1619078,41.8444686,2016-04-05 06:02:08,483.85040221492073,7102.0,0.06812875277596743,338.03126069504356,98.84692327660758,Foraging
38058.0,41.8274189,-88.2602786,184.0,25,Coyote - Fermi 38058,1459890000000.0,2016-04-05 21:00:22,-88.1640944,41.8485064,2016-04-05 08:00:30,8325.375490235632,46792.0,0.1779230528773216,253.6345384491884,84.39672224585516,Traveling
38056.0,41.8477433,-88.1614553,200.59,17,Coyote - Cantigny 38056 (F),1459890000000.0,2016-04-05 21:01:42,-88.2602786,41.8274189,2016-04-05 21:00:22,8513.13032277177,80.0,,74.53515467388064,179.09938377530776,Traveling
38058.0,41.8264381,-88.2529142,194.75,7,Coyote - Fermi 38058,1459900000000.0,2016-04-05 23:00:19,-88.1614553,41.8477433,2016-04-05 21:01:42,7956.764517433062,7117.0,1.1179941713408827,252.66793492175566,178.13278024787502,Traveling
151325.0,41.9541456,-88.3587142,199.7,20,Coyote - Thornwood 151325 (M),1680670000000.0,2023-04-05 04:00:52,-88.2529142,41.8264381,2016-04-05 23:00:19,,220770033.0,7.556469409233028e-05,328.3722261889445,75.70429126718886,nan
151325.0,41.9610575,-88.3585383,205.78,22,Coyote - Thornwood 151325 (M),1680710000000.0,2023-04-05 16:01:09,-88.3587142,41.9541456,2023-04-05 04:00:52,767.8602317858547,43217.0,0.01776755054228324,1.084122209883148,32.71189602093864,Foraging
151326.0,41.9917847,-88.3479864,223.2,17,Coyote - Thornwood 151326 (F),1680720000000.0,2023-04-05 20:00:33,-88.3585383,41.9610575,2023-04-05 16:01:09,3523.226146435648,14364.0,0.24528168660788416,14.317882624537019,13.23376041465387,Traveling
151325.0,41.9609683,-88.3582414,215.31,27,Coyote - Thornwood 151325 (M),1680720000000.0,2023-04-05 20:01:06,-88.3479864,41.9917847,2023-04-05 20:00:33,3526.813700116378,33.0,,193.89903343140253,179.5811508068655,Traveling
151324.0,41.9332467,-88.0383994,154.25,16,Coyote - East Branch 151324,1712290000000.0,2024-04-05 04:00:50,-88.3582414,41.9609683,2023-04-05 20:01:06,,31564784.0,0.0008458544813026022,96.53995001377415,97.35908341762838,nan
151324.0,41.9521269,-88.0176194,194.82,15,Coyote - East Branch 151324,1712330000000.0,2024-04-05 16:00:51,-88.0383994,41.9332467,2024-04-05 04:00:50,2714.2291364207927,43201.0,0.06282792380780057,39.29884498171504,57.2411050320591,Traveling
151324.0,41.951495,-88.0173361,190.66,20,Coyote - East Branch 151324,1712350000000.0,2024-04-05 20:01:04,-88.0176194,41.9521269,2024-04-05 16:00:51,74.01290006774363,14413.0,0.0051351488286785285,161.5601455068788,122.26130052516376,Resting
301434000000000.0,40.503372,-89.450625,192.0,23,Coyote - Morton MA06 ,1743830000000.0,2025-04-05 04:00:00,-88.0173361,41.951495,2024-04-05 20:01:04,,31478336.0,0.006377680826206972,217.13833679495443,55.57819128807563,nan
301434000000000.0,40.192086,-88.064456,225.0,28,Coyote - Champaign MA05 ,1743870000000.0,2025-04-05 16:00:00,-89.450625,40.503372,2025-04-05 04:00:00,,43200.0,2.8410635929128825,105.96839565099613,111.1699411439583,nan
301434000000000.0,40.195253,-88.057433,209.0,14,Coyote - Champaign MA05 ,1743880000000.0,2025-04-05 20:00:00,-88.064456,40.192086,2025-04-05 16:00:00,693.7547031558431,14400.0,0.048177409941377994,59.44237792871483,46.526017722281296,Foraging
301434000000000.0,40.491464,-89.444328,174.0,28,Coyote - Morton MA06 ,1743850000000.0,2025-04-05 12:00:00,-88.057433,40.195253,2025-04-05 20:00:00,,-28800.0,-4.247910723573594,286.1021780108459,133.34019991786897,nan
38058.0,41.8241694,-88.2571169,189.92,12,Coyote - Fermi 38058,1459960000000.0,2016-04-06 17:00:29,-89.444328,40.491464,2025-04-05 12:00:00,,-283892371.0,-0.0006284791690080638,33.46075374129615,107.35857573045027,nan
38056.0,41.8370997,-88.1627058,222.67,16,Coyote - Cantigny 38056 (F),1459960000000.0,2016-04-06 17:01:48,-88.2571169,41.8241694,2016-04-06 17:00:29,7973.1503358541895,79.0,,79.55346455636673,46.09271081507058,Traveling
38056.0,41.8370492,-88.1544128,237.95,9,Coyote - Cantigny 38056 (F),1459930000000.0,2016-04-06 08:00:28,-88.1627058,41.8370997,2016-04-06 17:01:48,688.8540713857282,-32480.0,-0.02120856131113695,90.46551942311417,10.91205486674744,Foraging
38058.0,41.8274186,-88.2603144,182.52,15,Coyote - Fermi 38058,1459980000000.0,2016-04-06 21:00:29,-88.1544128,41.8370492,2016-04-06 08:00:28,8861.830678402128,46801.0,0.18935131040794273,263.07681592087596,172.61129649776177,Traveling
38058.0,41.8274219,-88.2602564,191.1,22,Coyote - Fermi 38058,1459980000000.0,2016-04-06 23:00:12,-88.2603144,41.8274186,2016-04-06 21:00:29,4.832227426032044,7183.0,0.000672731090913552,85.63362643348061,177.44318948739533,Resting
151326.0,41.9917956,-88.3479972,218.87,11,Coyote - Thornwood 151326 (F),1680750000000.0,2023-04-06 04:00:34,-88.2602564,41.8274219,2016-04-06 23:00:12,,220770022.0,8.902943580197825e-05,338.36408040954984,107.26954602393079,nan
151325.0,41.9528936,-88.3588714,216.78,26,Coyote - Thornwood 151325 (M),1680800000000.0,2023-04-06 16:00:59,-88.3479972,41.9917956,2023-04-06 04:00:34,4413.956737299434,43225.0,0.10211582966568963,191.74373828982422,146.62034211972562,Traveling
